date_info,name,title,content,rating
Reviewed in India on 26 June 2019,Smriti,Replace my product,The product is not working icame to know today because engineer come today for demo,1.0 out of 5 stars
Reviewed in India on 6 November 2020,DK,Excellent product,Excellent product,5.0 out of 5 stars
Reviewed in India on 7 October 2020,somya chauhan,Good product,Good product,4.0 out of 5 stars
Reviewed in India on 18 August 2019,r k p,China Maal,After one use stop working. Really Chinese brand.,1.0 out of 5 stars
Reviewed in India on 4 January 2021,Sanjeev kumar jain,How to operate.,Easy to operate.,5.0 out of 5 stars
Reviewed in India on 11 June 2020,Narendra Agrawal,Good product,"It's a very helpful product, when on diet😊",5.0 out of 5 stars
Reviewed in India on 25 November 2019,Aditya Labroo,Very good product!,"Reasonably priced, easy to use!",5.0 out of 5 stars
Reviewed in India on 12 July 2020,Nilesh khebade,Easy to use easy to cook,Very nice air fryer ever made.,5.0 out of 5 stars
Reviewed in India on 23 February 2020,omar,Awesome,This product is awsome! Easy to use and value for money!,5.0 out of 5 stars
Reviewed in India on 27 January 2021,Vijay Bhasin,nice product,Gud product,5.0 out of 5 stars
Reviewed in India on 26 August 2020,Anil Kumar Verma,Horrible product,Did not work properly even once,1.0 out of 5 stars
Reviewed in India on 13 February 2020,Amazon Customer,Value for money,Easy touse,5.0 out of 5 stars
Reviewed in India on 11 November 2020,Rashmi sharma,Good buy!.,True to description.,4.0 out of 5 stars
Reviewed in India on 25 June 2020,gurkaran Singh,Perfect,Amazing fryer. Perfect at this price.,5.0 out of 5 stars
Reviewed in India on 14 August 2020,Shankar store,thumbs up,working nicely,5.0 out of 5 stars
Reviewed in India on 4 September 2020,RAHUL GULATI,Inalsa Air Fryer,Very good product.,5.0 out of 5 stars
Reviewed in India on 15 October 2019,Vidit Mehndiratta,Not starting up.,Opened after some days of receiving. It is not starting up,1.0 out of 5 stars
Reviewed in India on 1 November 2020,Heena,Easy to use,Very nice product.,4.0 out of 5 stars
Reviewed in India on 31 August 2020,Divansh Koul,Worth it,Best product for the range,5.0 out of 5 stars
Reviewed in India on 4 December 2020,Shivang J.,Good product,Good product,4.0 out of 5 stars
Reviewed in India on 27 June 2020,rajesh dhall,Good product,Good product. Easy to use,5.0 out of 5 stars
Reviewed in India on 6 December 2020,APOORVA AGARWAL,Worthy product,Easy to use,5.0 out of 5 stars
Reviewed in India on 26 September 2020,Sourbh,Value for Money...,Good Product,4.0 out of 5 stars
Reviewed in India on 9 January 2021,Achyut Singh,Value for money,Nice,5.0 out of 5 stars
Reviewed in India on 16 July 2019,Pamela,Really a great product in wonderful price,Very Nice and eligent product,5.0 out of 5 stars
Reviewed in India on 7 November 2020,vinoth,Nice,Nice,3.0 out of 5 stars
Reviewed in India on 8 November 2020,SHASHI,Easy,Easy to use,3.0 out of 5 stars
Reviewed in India on 13 August 2019,Amazon Customer,Takes too long time to cook,It takes too much time to cook,3.0 out of 5 stars
Reviewed in India on 8 September 2020,Amazon Customer,Very good air fryer,Very good air fryer,5.0 out of 5 stars
Reviewed in India on 29 October 2020,navpreet khokher,Nice!!,Good product,4.0 out of 5 stars
Reviewed in India on 19 May 2020,Ankita sinha,Excellent product value for money,Excellent product,5.0 out of 5 stars
Reviewed in India on 22 July 2020,madhav neelansh,Excelente product,Good product. I like it.,5.0 out of 5 stars
Reviewed in India on 26 October 2020,A/C,Nice product,Easy to use,4.0 out of 5 stars
Reviewed in India on 7 May 2019,Tilak Raj Sindwani,Not value for moneg,It's not easy to use,1.0 out of 5 stars
Reviewed in India on 21 August 2020,Amazon Customer,did not heat up,this did not work,1.0 out of 5 stars
Reviewed in India on 30 September 2019,Amazon Customer,nice,liked.good product.value for money,5.0 out of 5 stars
Reviewed in India on 20 June 2020,mahaveer,Good product,Nice product...,4.0 out of 5 stars
Reviewed in India on 2 August 2020,Satinder Narula ,fine,Its good product,3.0 out of 5 stars
Reviewed in India on 25 October 2020,Rama,Nice,Nice,4.0 out of 5 stars
Reviewed in India on 28 August 2020,michael white,Good,Good,5.0 out of 5 stars
Reviewed in India on 13 March 2020,supreet panesar,Nice product by inalsa,Excellent product,5.0 out of 5 stars
Reviewed in India on 15 August 2019,malti Kapoor,Good product,Value and easy both,5.0 out of 5 stars
Reviewed in India on 11 August 2020,Karun Sharma,Nice product,Nice product,5.0 out of 5 stars
Reviewed in India on 23 August 2020,Chetan,The best,Like best,5.0 out of 5 stars
Reviewed in India on 25 June 2020,Poonam bhatia,It is very good,I loved this item,5.0 out of 5 stars
Reviewed in India on 9 July 2020,Puru tandon,Don't buy this product,Worst product,1.0 out of 5 stars
Reviewed in India on 7 July 2020,prudhvi krishna kamireddy,Good,Good,5.0 out of 5 stars
Reviewed in India on 11 July 2019,Sandip,Very good product,Easy to use and value for money,4.0 out of 5 stars
Reviewed in India on 23 August 2019,Umesh Anand,Not so good,Didn’t work,1.0 out of 5 stars
Reviewed in India on 9 March 2020,Surmeet Singh mann,Good product,Excellent,1.0 out of 5 stars
Reviewed in India on 6 September 2019,reti6536,Good,"गgood, value for money",4.0 out of 5 stars
Reviewed in India on 6 September 2019,rupali passi,Did not like the product,Had to return as product was defected,1.0 out of 5 stars
Reviewed in India on 5 October 2019,Abdul Raheem,Gorgeous 1,Awesome product and easy to use,5.0 out of 5 stars
Reviewed in India on 28 January 2020,harsh khera,Inhalsa Air Fryer,Value for money,5.0 out of 5 stars
Reviewed in India on 5 February 2020,pritam sharma,Value for money.,Nice Product.,5.0 out of 5 stars
Reviewed in India on 16 June 2019,Gaurav Kanda,Great product,Value for money product,5.0 out of 5 stars
Reviewed in India on 10 July 2019,KK Pandit,Ideal size for small family,Value for money,4.0 out of 5 stars
Reviewed in India on 5 October 2019,Kindle Customer,Inalsa airfryer,Good product,5.0 out of 5 stars
Reviewed in India on 23 July 2019,Divya Singh,Power supplies problem so finally we are returning this product,This product is not working,1.0 out of 5 stars
Reviewed in India on 16 August 2019,pawan chopra,Good product,Like it,5.0 out of 5 stars
Reviewed in India on 13 May 2019,B Bhupinder Rao,Useful for Modern kitchen,Very nice & useful,5.0 out of 5 stars
Reviewed in India on 5 August 2019,Shyam Kotwani,Excellent product,Vslue gor money,5.0 out of 5 stars
Reviewed in India on 18 March 2019,Indu jain,Nice product,A nice product with value for money.,5.0 out of 5 stars
Reviewed in India on 4 April 2019,santosh kumar,Nice product,Good product and easy use this,3.0 out of 5 stars
Reviewed in India on 7 June 2019,Switi ,.,Easy to use,5.0 out of 5 stars
Reviewed in India on 5 March 2019,bhushan g.,Ok,Ok,4.0 out of 5 stars
Reviewed in India on 15 August 2020,Amazon Customer,Affordable Air fryer with large capacity.,"We have used this Air fryer on an average 3 times per week in the past one month. So far we have made chips, roasted veggies, cutlets, pizza, and cake. For some items you might need to oil the base a little more.. Ideally you can place an piece of foil to collect the excess oil which can prevent the oil from spoiling the base. Try to clean the fryer once it's cooled down but still a little hot. This will make it easier to get the oil out.. The size is about half the width of a common microwave.. The manual timer can sometimes glitch so you need to be careful that you keep an eye on it.",4.0 out of 5 stars
Reviewed in India on 28 April 2020,shubham malhotra,THE BESTEST AIR FRYER,"Just WOW product.comes with very high capacity of 2.9 L food basket and 4.2L pan capacity.ultimate looks.packing is superb.LED indicator light also very good feature in this. Also very happy with booklet which I having with this product.the best home appliances brand.highly recommend to everybody.STAY HOME,STAY HEALTHY,COOK HEALTHY.",5.0 out of 5 stars
Reviewed in India on 6 January 2021,Amazon Customer,Healthy eating,"It's a good addition to the kitchen..takes up bit of a space like 1*1 feet. But the result of air frying is good. Less oil, so healthy at the same time. The only thing is that all air fryers need pre heating..but once it's heated you can fry continuously batch after batch.",4.0 out of 5 stars
Reviewed in India on 23 October 2020,Amazon Customer,poor product quality poor service,I purchased air fryer and with in 24 hours it stopped working. Lock switch stopped working. Raised a complaint on Monday 19th october at cc. They gave us 48 hours. Today is Friday no one turned up. Customer Care is closed speaking we are open from monday till saturday and today is friday still closed at 15:15 hours. Beware of these chinese white labeled products.,1.0 out of 5 stars
Reviewed in India on 19 October 2020,User,Faulty design on locking latch,"The push and release locking latch got stuck inside after pushing . I asked for product to be replaced which was done . Now the replaced same product also faces the same issue , the latch is stuck and not releasing , i am asking for refund this time and the refund window has lapsed . Please help if you can . thx",1.0 out of 5 stars
Reviewed in India on 14 July 2020,Amazon Customer,Nice product for healthy cooking!,"This is a nice product, especially if you want to eat healthy. It's very easy to use and clean and the basket has sufficient space to cook for up to 4 people. Worth buying if you want to eliminate oil! The only minor downside is that it takes longer that traditional deep frying- but that's an ok tradeoff for good health!",4.0 out of 5 stars
Reviewed in India on 9 October 2020,Sanchit Dubey,Worst product,Within 2 months this worst product stops working. One of the waste product don’t know how much more they want to cheat customer atleast this i will be raising in consumer forum. Buyed with so much trust as inalsa brand and this happened that my product stops working within 4 months,1.0 out of 5 stars
Reviewed in India on 26 January 2019,Amazon Customer,User friendly,The product is user friendly and very easy to operate. The design and color of product is very impressive. Makes healthy and delicious food.,4.0 out of 5 stars
Reviewed in India on 28 May 2019,chhavi,Excellent product,Made paneer tikkas in inalsa air fryer and they turned out to be awesome. Absolutely loved the product. Highly recommend buying it. Plus inalsa offers home service of the product which is a huge benefit.,5.0 out of 5 stars
Reviewed in India on 28 January 2021,Manas Rajput,Good product!,A good product. Super easy to use and clean. One suggestion is to increase the temperature limit to atlest 300 c,5.0 out of 5 stars
Reviewed in India on 20 March 2019,Amazon Customer,worst air fryer,got damaged within 1st use...cheap quality and plastic is also not good...give a burnt smell on cooking...go for havells or philips...this is aan honest review...plz dont waste your money people!,1.0 out of 5 stars
Reviewed in India on 20 June 2019,Amazon Customer,Defective products are being sold by amazon.,1st time got defective product which was slightly damaged as default.. Got it replaced after a month to which again got a more faulty piece.. Now i dont have any option on what to do as i am not having replacemeny option now.,1.0 out of 5 stars
Reviewed in India on 17 April 2021,Bhavani,Received a used product,"I received this product in a packed box from amazon. Once i opened it, i can see food pieces and oil geese in it. I disappointed with amazon and the product,",1.0 out of 5 stars
Reviewed in India on 1 October 2020,Mehar D.,Worst product,V disappointed with this..its work only 2-3 times then its is not working.I called customer care number also..no response...give best service to ur customer,1.0 out of 5 stars
Reviewed in India on 7 January 2021,Mukund Murthy,Seems good.,Just tried it on receipt of the fryer and it seems good. The potato wedges turned out quite well. To try more frying,5.0 out of 5 stars
Reviewed in India on 27 April 2020,Amazon Customer,Nice product,"Very nice product. Like it very much, food tastes great as if it’s really fried but without any oil. Easy to use and a must have for every household.",5.0 out of 5 stars
Reviewed in India on 29 June 2020,Sarthak Bhutani,Thanks to Inalsa Appliances,"A very good product, got it delivered yesterday and then only I used the product with some french fries and tandoori chicken for the dinner. Had a wonderful experience using the product.",5.0 out of 5 stars
Reviewed in India on 2 November 2020,Amazon Customer,Product review,Great product with good capacity. Very happy with the quality as well as the capacity of the product.. Would definitely recommend the product.,4.0 out of 5 stars
Reviewed in India on 28 October 2020,Bhawana kapoor,Inalsa air fry,Really liked the product.. its easy to clean. Loved it... my 1st experince is realy nice and awsome exp. So.,5.0 out of 5 stars
Reviewed in India on 28 January 2021,Shivam,Spacious and healthy!,Easy to use and user friendly. Satisfied! Spacious and efficient for daily usage in life. Healthy and tasty food in just few minutes.,4.0 out of 5 stars
Reviewed in India on 30 September 2020,Ritwik,Wonderful utility,"Very easy to use product with multiple utilities like potato wedges, french fries and cheese balls. Easy to clean as well.",5.0 out of 5 stars
Reviewed in India on 22 September 2020,Sid,Excellent Product,Very easy to use and friendly. Definitely recommended and one should go for it.. Thank you for this good product.,5.0 out of 5 stars
Reviewed in India on 25 March 2021,Amazon Customer,Best quality,"Very easy to use and clean, best in terms of quality, and competitive pricing as compared to others. Great functions.",5.0 out of 5 stars
Reviewed in India on 19 October 2020,Kritika,Good product,Pride of our kitchen. Good product !!! 😊. Easy to make. Easy to clean. Product is very user-friendly !!! 👍,5.0 out of 5 stars
Reviewed in India on 10 July 2020,kulwant,A Must Have!,A pretty good product. Fries with minimal oil.,5.0 out of 5 stars
Reviewed in India on 8 October 2020,Navinkumar V.,"Superb, amazing product",I like very much. it will help to prepare healthy food in place of deep fry and save the monthly vegetable oil consumption.,4.0 out of 5 stars
Reviewed in India on 31 October 2020,shrilesh naik,Good,"Easy to use, best in this price, very easy to use, happy with the product, must buy it, very happy😊",5.0 out of 5 stars
Reviewed in India on 27 April 2020,Ms nikhil kumar,Competative price of inalsa air fryer,Awsome quality digital display lowest price easy to operate good looking product 😍😍,5.0 out of 5 stars
Reviewed in India on 14 August 2020,JITENDRA LAWANE,Worst product,Very bad quality of product.and he working bad.,1.0 out of 5 stars
Reviewed in India on 6 August 2020,sharoshi,Very handy..,"Easy to use and time saving.. Food sticks too much , needs a better non stick basket.",4.0 out of 5 stars
Reviewed in India on 27 April 2020,Gaurav Dikshit,Air fryer is much healthier Today,Nice Product uses a lot less oil would say a more healthy frying alternative.,5.0 out of 5 stars
Reviewed in India on 28 April 2020,Rajat Sharma,RS,"This product has very good effect on time. and product use is very easy,",5.0 out of 5 stars
Reviewed in India on 4 July 2019,Amazon Customer,not working at all,Even before pre heating it is not working.I requested for replacement but not yet replaced.,1.0 out of 5 stars
Reviewed in India on 27 April 2020,saurabh Garg,Good,Good product,5.0 out of 5 stars
Reviewed in India on 14 February 2020,Lavish s.,Awesome product👍,Very nice air fryer easy to use I really love this. Must buy product 🔥😍,5.0 out of 5 stars
Reviewed in India on 23 February 2021,sanjay bhatia,Great priduct,Nothing,5.0 out of 5 stars
Reviewed in India on 8 September 2019,Nitesh Raj,Nice purchase,Nice purchase at this price. Satisfied 👌,4.0 out of 5 stars
Reviewed in India on 13 August 2019,DEEPAK SINGHAL,Excellent Product. Proud owner of Inalsa Air Fryer .,Excellent Product. Worth Money.,5.0 out of 5 stars
Reviewed in India on 2 August 2019,Smitha Rao,Worth the price,Amazing product,3.0 out of 5 stars
Reviewed in India on 16 September 2020,BobzBLR,An average fryer,"This is an air fryer for all those budget-conscious foodies who want to help their hearts eat healthily.. It's not the best in the market, but it does its job okay for cooking that takes less than half an hour.. The handle quality is bad. Use carefully. I got the entire unit replaced the second day itself.. The control knobs are below average.. The replaced one is working well for over two months now without any issues.. The taste of food reduces greatly, of course. I little bit of oil or butter can be brushed at the end for taste. Little means, very little.",4.0 out of 5 stars
Reviewed in India on 7 April 2019,The Honest Feedbacker,Not worth,"Delivery feedback - unprofessional. Courier guy delivered the item at the security gate of residential complex after discussing with me but reported as ‘delivered direct to customer’ which isn’t appropriate.. About item- Bought to have an initial experience of an air fryer. Product doesn’t seem to be of acceptable standards. Even at highest temp i.e. 200 degrees and using as per the recommended time, the food (eg thin home fries) couldn’t get crispy or tender. The demo provided by company isn’t satisfactory as the demo guy himself doesn’t know much about its working. Build quality is also very much average. If Inalsa wants to gain popularity in this segment then they need to improve drastically. Just selling a product for a cheaper price doesn’t help always",2.0 out of 5 stars
Reviewed in India on 6 November 2020,Sumitav Tripathy,Product is good but customer care app and portal needs improvement.,Product is good in quality and price. The customer care they need to improve. I registered in INALSA CARE android app with my mobile number and tried to add the product but I could not. Then I registered in their website with email since there was no option to login with already registered mobile number and there was no option to add product in web portal. So there's syncing issue between mobile app and web.,5.0 out of 5 stars
Reviewed in India on 24 September 2020,Sachin Advani,Good product for reducing oil consumption,It's a good product for people wanting to cut down on their oil consumption.. Food cooks well.. Easy to use. Food gets cooked evenly. Not ideal for big families as cooking bowl isn't very big,4.0 out of 5 stars
Reviewed in India on 29 August 2020,Ayush Jain,Best bang for buck in Airfryers,"Big, easy to use and looks good in black finish. We cooked samosas, while they were just 90% as good in taste as compared to deep fryed samosas, but they were 100% more Healthy as it took very little oil.. If you're looking for a good spacious airfryer under 5k, I would recommend you this airfryer.",5.0 out of 5 stars
Reviewed in India on 2 November 2020,Tania,"The fryer is good , but not sure of warranty","Although the product is great in usage, but there was no instructions manual or any warranty card in the package.. so a bit disappointed..",5.0 out of 5 stars
Reviewed in India on 6 May 2021,Dheeraj Kumar,Not meet my expectation,"Not that what I was looking for, Gifted to my uncle. But not meet his expectation. You can try at your own but personally di not like it",2.0 out of 5 stars
Reviewed in India on 26 September 2020,jetty,Delicate plastic components,"An average product with delicate plastic components( I don't know if it's ABS or other kind of plastic). Though, Philips is expensive, it's worth paying for their product .",2.0 out of 5 stars
Reviewed in India on 5 December 2020,Sanjay,Good Overall,"There is a kind of plastic smell when you cook, washed and cleaned several times, won’t go away fully but otherwise good",5.0 out of 5 stars
Reviewed in India on 23 October 2020,Nikita,"Only dryer received, no manual or recipe book or warranty card in the box.","I haven’t received the instruction manual, recipe book and warranty card. How m I supposed to use this without the instruction manual? I will probably get this replaced or returned- if they do not provide me with all that!",3.0 out of 5 stars
Reviewed in India on 7 March 2020,Shalini Joseph,Value for money n easy to clean,So far excellent. Isnt as fast as kenstar but enough. Best thing is that the fry pan is truly non stick n very easy to clean,5.0 out of 5 stars
Reviewed in India on 8 February 2021,Sunil,Good to have for every household with kids,Works well... Nice for avoid oily cooking and still continue to eat fried,4.0 out of 5 stars
Reviewed in India on 6 February 2021,S.K.Ahluwalia,Good and useful product,Very solid and useful product. Easy to use and clean.,5.0 out of 5 stars
Reviewed in India on 5 August 2020,Naresh Haseja,Low quality,Very low quality product plus the lock got damaged in 2 days itself. Better to pay a few bucks extra and buy Philips that we used for 8 years without any issues,3.0 out of 5 stars
Reviewed in India on 1 May 2021,sonia,Must buy,"Very user friendly easy to cook food🎉. It is a good product which has very clear instructions. The air fryer is easy to use and very convenient, it only takes like one attempt to get used to the product",5.0 out of 5 stars
Reviewed in India on 29 July 2020,Sidharth Narad,Very easy to use and good product,Its very easy to setup and use this product.,5.0 out of 5 stars
Reviewed in India on 19 May 2021,tushar piplani,Easy to use,Easy to use got instructions on youtube. Flavor remained same. Just little less capacity. But that is what we ordered.,4.0 out of 5 stars
Reviewed in India on 30 July 2020,Sudhir Bhatia,GOOD PRODUCT BUT BAD SERVICE,"THE PRODUCT WORKED WELL FOR ME FOR A FEW MONTHS AND THEN JUST DIED, I HAVE WARRANTY AND NEED REPLACEMENT PLEASE CALL ME ON 9833154503 OR 9820031460",3.0 out of 5 stars
Reviewed in India on 23 August 2020,Souvik Raha,Inalsa Rocks !!!!,Used it twice till now. Easy to use and clean. Food also is cooked properly and very tasty. Go for it !!!,5.0 out of 5 stars
Reviewed in India on 31 July 2020,Rinku Patel,Product is as described...,Product is as described & price worthy.,5.0 out of 5 stars
Reviewed in India on 3 September 2020,Manish Jhunjhunwala,Inalsa air fryer great,Good product at a very reasonable price,5.0 out of 5 stars
Reviewed in India on 29 June 2020,hemant Patil ,Working fine,"Working fine,",3.0 out of 5 stars
Reviewed in India on 28 January 2021,jithin raj,Easy to use and value for money,Excellent quality and easy to use. Value for money,5.0 out of 5 stars
Reviewed in India on 9 January 2021,Durgesh R. Haritay,Value for money product,It is very easy to use and a very good product.,5.0 out of 5 stars
Reviewed in India on 16 July 2020,Amazon Customer,I would rate it as a Good air fryer,"I had used air fryer for cooking french fries and Paneer Tikka. Both were excellent and my familiy liked it,",4.0 out of 5 stars
Reviewed in India on 2 November 2020,Ramsurat H Tiwari,"My relative is already using similar product. When compared both, Inalsa is Better Fryer.",User friendly. Easy to operate.,5.0 out of 5 stars
Reviewed in India on 30 December 2020,Rishabh Sagar,Amazing air fryer,"It is an awesome fryer , must buy",5.0 out of 5 stars
Reviewed in India on 12 August 2019,Nirvana.. ,Best of All,Good Value for. Money,4.0 out of 5 stars
Reviewed in India on 12 August 2020,RD,Delivered with an open box,The product came with an open inalsa box. No amazon packing added over it. Though the product is working fine.. Seller should improve its packing,3.0 out of 5 stars
Reviewed in India on 14 August 2020,Arun kumar,Nice and handy,Easy to use and good performance,5.0 out of 5 stars
Reviewed in India on 12 March 2019,Irfan Haider,Value for money!,Very easy to use and convenient. Happy with the product.,4.0 out of 5 stars
Reviewed in India on 4 April 2021,Jagrit Mehta,Go for it,Best in this price range,5.0 out of 5 stars
Reviewed in India on 12 October 2019,Amit,May have,Easy fr frozen foods,3.0 out of 5 stars
Reviewed in India on 4 September 2020,Sankeerth Reddy,Stopped working in a month,Stopped working only after a month. Very bad product. Please don't buy.,1.0 out of 5 stars
Reviewed in India on 28 March 2019,RH,Happy  eating,Good product,4.0 out of 5 stars
Reviewed in India on 14 December 2019,Ankita Sharma,Nice,Very good.,5.0 out of 5 stars
Reviewed in India on 5 June 2020,Ravikumar,Bad customer services,We expected good service but I salsa is very bad customer s service in India they side 2 years but gurrenty but no response to buyers in India Amazon will take action to insala products r give money back to costumers Amazon of India,1.0 out of 5 stars
Reviewed in India on 5 May 2019,Regular Customer ,It’s available on Flipkart for 3998,It’s available on Flipkart for 3998 it’s a good product I have it. Also it doesn’t get over heated and gives good food without fail,5.0 out of 5 stars
Reviewed in India on 13 December 2020,NIKI,waste of money,"Hate to say I order two for my sister to gift but such a poor quality made, handle was broken first day itself and second piece button never came back ...One word - Avoid this product",1.0 out of 5 stars
Reviewed in India on 8 April 2021,Satendra Sharma,Worth to buy!!!!,Awesome 👌,4.0 out of 5 stars
Reviewed in India on 1 May 2021,Zubin Kapadia,Doesnt work,The heating element is ice cold even after keeping it on for 20mins.. Completely faulty product. Cant expect anything else from a cheap brand I guess.,1.0 out of 5 stars
Reviewed in India on 8 April 2021,SidB,It has gone dead in 8 months,The product has stopped working in 8 months .,2.0 out of 5 stars
Reviewed in India on 6 March 2021,Shelender Sud,Ok,So so,4.0 out of 5 stars
