date_info,name,title,content,rating
Reviewed in India on 11 April 2021,koffeebean,"Sturdy, functional & value-for-money product","Great product! Good, sturdy build, cooks perfectly and does the job as claimed at half the price of some other brands!. Value-for-money product!. Also, Inalsa is one of the few brands that offer a 2 year warranty on their Air Fryer.. Go for this, you won’t be disappointed :)",5.0 out of 5 stars
Reviewed in India on 24 October 2019,Pratibha,Worth buying,Its an amazing product. Just what i expected it to be. I ordered a 4.2lt capacity air fryer and it is enough for a small family. The tikkis I made were crisp and just as flavorful as it should be. Great.,5.0 out of 5 stars
Reviewed in India on 9 August 2019,Ripandeep Singh,Good product,"Its good product and easy to use, only try once so no feedback about durability; will write more once I tried it properly;. Issues with packaging - I have replaced the product, and this time I got the product in proper packaging, but the first time I got the product in the worst condition, that's the area company needs to work.",4.0 out of 5 stars
Reviewed in India on 18 October 2020,Kedar Biniwale,Loving it!,Very useful product for health conscious people like me and it's very helpful as we can fry almost everything ranging from French fries to sizzler. I love this product and I highly recommend everyone to buy this. But I would like to add something that the air fryer should have a pause button,5.0 out of 5 stars
Reviewed in India on 18 November 2020,NEIL,Must have applience for healthier life style,Airfryer is very good and serves the purpose. I perticularly purchased it to make non veg items oil free. It is very good and i got it im just 4150 during great indian sale. :-),5.0 out of 5 stars
Reviewed in India on 7 May 2021,Jeevthan J,Poor product and waste of money,Poor product. Stopped working within 20 days of purchase. Trying to reach customer service but no one attending the call. What Amazon is selling this cheap and cheating products. I want complete refund on this product,1.0 out of 5 stars
Reviewed in India on 24 August 2019,Core systems (imran Ahmed),Pleas ignore this item,"Body finishing is below par , tempreture control wheel is so ugly. At first sight it looks a like an unbranded assembled price.. Works only for 5 minutes after that totally dead. Waste my time and my chiken also",1.0 out of 5 stars
Reviewed in India on 7 November 2020,gautam chaini,It is so GREAT..Just Go for it,It is really easy to use.. first time I tried Tandoori chicken and it was so yummy. Unlike tawa or oven it was juicy from inside and right texture from outside. My wife is so haapy with the product that she will order one more for her mother. Thank u Inalsa,5.0 out of 5 stars
Reviewed in India on 24 October 2020,Shabih Kazmi,Satisfied,"I am totally satisfied with the product. Cooks well, very less oil consumption, will take some time to develop a taste for its food.",4.0 out of 5 stars
Reviewed in India on 6 March 2021,Abha,"Convenient, healthy, low-maintenance","Inalsa air fryer is very convenient to use, saves up a lot of oil & keeps us healthy & light. It is low maintenance & easy to clean. We fried french fries & they got ready in no time & we enjoyed our fries guilt-free!",5.0 out of 5 stars
Reviewed in India on 21 August 2020,ripy,poor quality product,Had to return the product the next day because of poor quality of the locking system. the locking system became serviceable after a few operations on the first day itself. The fryer is useless without the locking system.,3.0 out of 5 stars
Reviewed in India on 12 September 2020,Amazon Customer,Poor built quality,Built quality very poor. Handle not working within 15 days. Plastic smell in early use. Extremely difficult to clean food basket (food stick to basket holes),3.0 out of 5 stars
Reviewed in India on 25 April 2021,Namit,Problem in product,"We use This products only for 10 days and it stop working, just waste of money , pls don’t buy and no one is there to solve its problem. Don’t buy",1.0 out of 5 stars
Reviewed in India on 22 May 2021,Ayush,Stopped working on second use only..,Unfortunately i had to return this as its stopped working in my second use only...not sure what was the problem but if i will buy going forward will prefer autmoatic one with preset buttons..,1.0 out of 5 stars
Reviewed in India on 25 January 2021,deepak kulkarni,Superlative product.. great pricing,Absolutely flawless.. very simple to operate.. easy to clean... very flexible to use... very aptly pricing too,5.0 out of 5 stars
Reviewed in India on 10 November 2020,Boski kalra,Adding convenience and health to your kitchen,"Inalsa air fryer is easy to use and helps cook with very little to no oil. Use a foil paper in the basket to avoid oiling of the pan. The temperature and timer settings are manual so very helpful if you want to cook at your own pace. I've tried alloo tikkis, fries and grilled paneer and they turned out really well.",5.0 out of 5 stars
Reviewed in India on 12 June 2020,Sharada,A must have appliance !,"The INALSA air fryer has been my companion in the kitchen for almost a week now . It is very easy to use , makes absolutely no sound with the flavour of the food being lipsmacking , I must say this buy is value for all the money you pay !",4.0 out of 5 stars
Reviewed in India on 13 March 2021,Navi gill ,"Nycc product at affordable price, must buy","Really nice product from inalsa and it's in budget of everyone plus the capacity is also good enough ,I review this after nearly 1 week use air fryer works really well ,I really wanna refer this to everyone who wants a good air fryer at that price range",5.0 out of 5 stars
